TURN 1
Town4 -> eat
Town5 -> eat
Rex -> move_east
RexM3 -> eat
RexM4 -> eat
RexM5 -> eat
RexM6 -> eat
RexM7 -> eat
RexM8 -> eat
Chief2 -> move_south
F2d -> eat
S002M2 -> rest
S002M3 -> move_south
S002M4 -> rest
S002M5 -> rest
Chief3 -> move_south
F3d -> eat
S003M2 -> rest
S003M3 -> move_north
S003M4 -> rest
S003M5 -> rest

Food remaining: 141

TURN 2
Town4 -> rest
Town5 -> rest
Rex -> eat
RexM3 -> rest
RexM4 -> rest
RexM5 -> rest
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> eat
F2d -> rest
S002M2 -> rest
S002M3 -> rest
S002M4 -> rest
S002M5 -> rest
Chief3 -> eat
F3d -> rest
S003M2 -> rest
S003M3 -> move_south
S003M4 -> rest
S003M5 -> rest

Food remaining: 138

TURN 3
Town4 -> rest
Town5 -> rest
Rex -> move_south
RexM3 -> rest
RexM4 -> rest
RexM5 -> rest
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> move_east
F2d -> ally_with_Chief2
S002M2 -> rest
S002M3 -> rest
S002M4 -> rest
S002M5 -> rest
Chief3 -> move_east
F3d -> ally_with_Chief3
S003M2 -> rest
S003M3 -> move_north
S003M4 -> rest
S003M5 -> rest

Food remaining: 138

TURN 4
Town4 -> rest
Town5 -> rest
Rex -> eat
RexM3 -> rest
RexM4 -> rest
RexM5 -> rest
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> eat
F2d -> rest
S002M2 -> rest
S002M3 -> rest
S002M4 -> rest
S002M5 -> rest
Chief3 -> eat
F3d -> rest
S003M2 -> rest
S003M3 -> move_south
S003M4 -> rest
S003M5 -> rest

Food remaining: 135

TURN 5
Town4 -> rest
Town5 -> rest
Rex -> move_east
RexM3 -> rest
RexM4 -> rest
RexM5 -> rest
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> ally_with_F2d
F2d -> rest
S002M2 -> move_south
S002M3 -> move_east
S002M4 -> eat
S002M5 -> eat
Chief3 -> ally_with_F3d
F3d -> rest
S003M2 -> move_north
S003M3 -> move_south
S003M4 -> move_west
S003M5 -> move_south

Food remaining: 133

*** Iris was born to Chief2 and F2d on turn 5 ***

*** Juno was born to Chief3 and F3d on turn 5 ***

TURN 6
Town4 -> eat
Town5 -> eat
Rex -> eat
RexM3 -> eat
RexM4 -> eat
RexM5 -> eat
RexM6 -> eat
RexM7 -> eat
RexM8 -> eat
Chief2 -> ally_with_Iris
F2d -> eat
S002M2 -> move_west
S002M3 -> move_east
S002M4 -> rest
S002M5 -> move_west
Chief3 -> ally_with_Juno
F3d -> eat
S003M2 -> move_west
S003M3 -> move_east
S003M4 -> eat
S003M5 -> move_west
Iris -> child
Juno -> child

Food remaining: 121

TURN 7
Town4 -> rest
Town5 -> rest
Rex -> move_east
RexM3 -> rest
RexM4 -> rest
RexM5 -> move_north
RexM6 -> move_south
RexM7 -> rest
RexM8 -> rest
Chief2 -> talk_to_F2d
F2d -> rest
S002M2 -> move_north
S002M3 -> eat
S002M4 -> move_north
S002M5 -> move_east
Chief3 -> talk_to_F3d
F3d -> rest
S003M2 -> move_west
S003M3 -> move_south
S003M4 -> rest
S003M5 -> move_west
Iris -> child
Juno -> child

Food remaining: 120

TURN 8
Town4 -> rest
Town5 -> rest
Rex -> eat
RexM3 -> move_north
RexM4 -> rest
RexM5 -> move_west
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> talk_to_F2d
F2d -> rest
S002M2 -> move_north
S002M3 -> rest
S002M4 -> move_west
S002M5 -> move_west
Chief3 -> talk_to_F3d
F3d -> rest
S003M2 -> move_south
S003M3 -> move_south
S003M4 -> rest
S003M5 -> eat
Iris -> child
Juno -> child

Food remaining: 118

TURN 9
Town4 -> rest
Town5 -> rest
